id,search_term_pt
1,Batatas fritas de rua carregadas
2,Pizza de massa fina assada em forno a lenha
3,Sopa de macarrão feita à mão
4,Almoço estilo havaiano
5,Sanduíche de café da manhã com abacate
6,Pão rústico do campo
7,Asas de frango coreanas apimentadas
8,Sanduíche de bagel estilo Nova York
9,Lancheira estilo bento
10,Estilo autêntico de caminhão de tacos
11,Sanduíche estilo Bauru
12,Prato de mezze mediterrâneo
13,Tigela de arroz crocante com proteína
14,Combo de café da manhã na fazenda
15,Batata assada recheada
16,Monte seu próprio refogado
17,Cachorro-quente estilo paulista
18,Prato de churrasco defumado
19,Massa estilo lasanha caseira
20,Peixe com batatas fritas no estilo pub
21,Macarrão cremoso com frutos do mar
22,Tigela crocante e poderosa
23,Sanduíche de clube empilhado
24,Acompanhamentos clássicos de churrascaria
25,Comida caseira mineira
26,Tigela de açaí com superalimentos
27,Prato de salsicha estilo alemão
28,Crepe com recheio salgado
29,Frutos do mar de inspiração portuguesa
30,Tigela de proteína vegetariana
31,Frango frito ao estilo sulista
32,Pão de bolso recheado
33,Pizza estilo vovó
34,comida de rua libanesa
35,tigela de curry japonesa
36,Burrito de café da manhã recheado
37,Envoltório estilo Califórnia
38,Queijo grelhado gourmet
39,Café da manhã clássico
40,Prato de carnes grelhadas argentinas
41,Sanduíche artesanal de fermento natural
42,Elementos de pizza napolitana
43,Tacos estilo food truck
44,Petiscos de boteco brasileiro
45,Sanduíche estilo Nova Orleans
46,Almoço caseiro de domingo
47,Rolinhos primavera vietnamitas frescos
48,Petiscos gourmet
49,Lancheira rápida para escritório
50,Tigela de grãos de vegetais assados
51,Prato de frutos do mar costeiros
52,Salada fresca do mercado do fazendeiro
53,Frango picante estilo búfalo
54,Ensopado reconfortante cozido lentamente
55,Crepe doce e salgado
56,Sanduíche de carne estilo delicatessen
57,Prato de inspiração amazônica
58,Monte sua própria tigela de poke
59,Nachos recheados supremos
60,Massa italiana rústica
61,Prato de café da manhã o dia todo
62,Proteína grelhada na chama com acompanhamentos
63,Estilo ceviche de mercado fresco
64,Sanduíche clássico de açougue
65,Café da manhã farto de lenhador
66,Café da manhã rápido com bolos
67,Comida de rua do nordeste brasileiro
68,Amostra de tapas ao estilo espanhol
69,Batata-doce assada recheada
70,Prato de frutos do mar frescos
71,Jantar familiar caseiro
72,Pão achatado recheado enrolado
73,Comidas favoritas do estádio
74,Prato frito dourado e crocante
75,Comida caseira no estilo do Centro-Oeste
76,Combo de lanches à beira-mar
77,Prato sazonal da fazenda à mesa
78,Refeição proteica pós-treino
79,Prato compartilhado tamanho família
80,Café da manhã de padaria brasileira
81,Hambúrguer com qualidade de churrascaria
82,Combo de lanches para noite de cinema
83,Carne assada lentamente com acompanhamentos
84,Envoltório de giroscópio estilo carrinho de rua
85,Asas crocantes estilo asiático
86,Clássico de bistrô francês
87,tigela estilo sudoeste
88,Desinfetante Uso Geral Lavanda Lysoform
89,Pastel de café da manhã saboroso
90,Amostra de aperitivos para o dia do jogo
91,Sanduíche artesanal feito à mão
92,Comida de rua do mercado noturno
93,Prato de proteína mista
94,Tigela de sopa quentinha para o inverno
95,Estilo de churrasco de verão no quintal
96,Arroz temperado do norte da África
97,Prato para almoço de escritório
98,Caixa de proteína rápida e saudável
99,Carne assada caseira com acompanhamentos
100,Lanche reconfortante para a madrugada
